,Unnamed: 0,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Postcode,Regionname,Propertycount,Distance,CouncilArea,Avg_room_num,Rel_room_num,lat_long,lat,lng
0,0,Abbotsford,49 Lithgow St,3,h,1490000.0,S,Jellis,2017-04-01,3067,Northern Metropolitan,4019,3.0,Yarra City Council,2.346969696969697,1.2782440284054228,"{'lat': 42.2901011, 'lng': -71.0688615}",42.2901011,-71.0688615
1,1,Abbotsford,59A Turner St,3,h,1220000.0,S,Marshall,2017-04-01,3067,Northern Metropolitan,4019,3.0,Yarra City Council,2.346969696969697,1.2782440284054228,"{'lat': -37.799492, 'lng': 144.99766}",-37.799492,144.99766
2,2,Abbotsford,119B Yarra St,3,h,1420000.0,S,Nelson,2017-04-01,3067,Northern Metropolitan,4019,3.0,Yarra City Council,2.346969696969697,1.2782440284054228,"{'lat': -37.8026507, 'lng': 144.9996482}",-37.8026507,144.9996482
3,3,Aberfeldie,68 Vida St,3,h,1515000.0,S,Barry,2017-04-01,3040,Western Metropolitan,1543,7.5,Moonee Valley City Council,3.0032362459546924,0.9989224137931036,,0.0,0.0
4,4,Airport West,92 Clydesdale Rd,2,h,670000.0,S,Nelson,2017-04-01,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council,3.0032362459546924,0.665948275862069,"{'lat': 40.6136589, 'lng': -74.3863904}",40.6136589,-74.3863904
5,5,Airport West,4/32 Earl St,2,t,530000.0,S,Jellis,2017-04-01,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council,3.0032362459546924,0.665948275862069,,0.0,0.0
6,6,Airport West,3/74 Hawker St,2,u,540000.0,S,Barry,2017-04-01,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council,3.0032362459546924,0.665948275862069,"{'lat': -37.721502, 'lng': 144.884307}",-37.721502,144.884307
7,7,Airport West,1/26 Highridge Cr,3,h,715000.0,SP,Nelson,2017-04-01,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council,3.0032362459546924,0.9989224137931036,,0.0,0.0
8,9,Albert Park,18 Mills St,3,h,1925000.0,S,Cayzer,2017-04-01,3206,Southern Metropolitan,3280,3.0,Port Phillip City Council,2.281177381874516,1.3151103565365023,,0.0,0.0
9,10,Albion,3/15 Drummartin St,3,u,515000.0,S,Douglas,2017-04-01,3020,Western Metropolitan,2185,10.5,Brimbank City Council,3.304779411764706,0.9077761708755144,"{'lat': -37.782812, 'lng': 144.820269}",-37.782812,144.820269
10,11,Albion,3A Kororoit St,4,h,717000.0,S,Bells,2017-04-01,3020,Western Metropolitan,2185,10.5,Brimbank City Council,3.304779411764706,1.210368227834019,"{'lat': -37.783304, 'lng': 144.824467}",-37.783304,144.824467
